player,before_Team,new_team
David Thomas,DePaul,Richmond Spiders
Kyler Vanderjagt,Central Michigan,Toledo Rockets
KJ Tenner,West Virginia,Murray State Racers
Dylan Arnett,Cleveland State University,North Texas Mean Green
Chad Moodie,Alabama A&M,Appalachian State Mountaineers
Sean Newman Jr.,Louisiana Tech,San Diego State Aztecs
Langston Love,Baylor,Georgetown Hoyas
Conor Enright,DePaul,Indiana Hoosiers
Malik Reneau,Indiana,Miami Hurricanes
Fredrick King,Creighton,Murray State Racers
Chauncey Wiggins,Clemson,Florida State Seminoles
Daquan Davis,Florida State,Providence Friars
Adam Clark,Merrimack,Seton Hall Pirates
Toby Harris,Brandeis,Iona Gaels
Rashad King,Northeastern,LSU Tigers
Kael Combs,Drake,Iowa Hawkeyes
Davin Cosby,Wake Forest,Kennesaw State Owls
